,sid,opt1_exp_rank,opt2_exp_rank,treatment,gender,grade,rxntime,choice_LR,option1,option2,opt1_imp_rank,opt2_imp_rank,chosen_opt,icr_half,icr_full,tv_half,tv_full,ice_half,ice_full,age_group,high_opt,low_opt,high_low_choice,max-amount-ind,min-amount-ind,max-prob-ind,max-prob-max-amount,min-prob-ind,min-prob-min-amount,all_risk,max_self_ind,max_self_max_other,max_self_min_other,min_self_ind,min_self_max_other,min_self_min_other,max_other_ind,max_other_max_self,min_other_ind,min_other_min_self,max_social_ind,max_social_max_self,max_social_max_other,min_social_ind,min_social_max_self,min_social_max_other,all_social,order
0,88101,4,5,Goods,1,5,3.310949111,1,1,3,4,5,1,0.0,0,0.5,1,0.0,0,4&5,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
1,88101,4,6,Goods,1,5,1.327007791,1,1,4,4,7,1,0.0,0,0.0,0,0.0,0,4&5,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,88101,4,6,Goods,1,5,1.533154682,1,1,6,4,6,1,0.0,0,0.0,0,0.0,0,4&5,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
3,88101,2,4,Goods,1,5,3.039354394,2,1,2,3,4,2,0.0,0,0.5,1,0.0,0,4&5,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
4,88101,2,5,Goods,1,5,3.165571416,0,2,3,3,5,0,0.5,1,1.0,2,0.5,1,4&5,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
5,88101,2,6,Goods,1,5,1.540256102,1,2,4,3,7,1,0.0,0,0.0,0,0.0,0,4&5,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
6,88101,2,6,Goods,1,5,2.167801044,1,2,6,3,6,1,0.0,0,0.0,0,0.0,0,4&5,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
7,88101,2,3,Goods,1,5,1.43880032,0,2,7,3,2,0,0.5,1,0.5,1,0.5,1,4&5,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,
8,88101,5,6,Goods,1,5,2.091511059,1,3,4,5,7,1,0.0,0,0.0,0,0.0,0,4&5,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
9,88101,5,6,Goods,1,5,1.445369547,1,3,6,5,6,1,0.0,0,0.0,0,0.0,0,4&5,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
10,88101,6,6,Goods,1,5,2.904050767,2,4,6,7,6,2,0.0,0,0.0,0,0.5,1,4&5,4,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
11,88101,1,4,Goods,1,5,1.468012269,2,1,5,1,4,2,0.0,0,0.0,0,0.0,0,4&5,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
12,88101,1,2,Goods,1,5,1.402777548,2,2,5,1,3,2,0.0,0,0.0,0,0.0,0,4&5,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
13,88101,1,5,Goods,1,5,1.332776449,2,3,5,1,5,2,0.0,0,0.0,0,0.0,0,4&5,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,88101,1,6,Goods,1,5,1.37404879,2,4,5,1,7,2,0.0,0,0.0,0,0.0,0,4&5,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
15,88101,1,6,Goods,1,5,1.536077187,1,5,6,1,6,1,0.0,0,0.0,0,0.0,0,4&5,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
16,88101,1,3,Goods,1,5,1.559812786,1,5,7,1,2,1,0.0,0,0.0,0,0.0,0,4&5,5,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
17,88101,3,4,Goods,1,5,2.220277937,2,1,7,2,4,2,0.0,0,0.0,0,0.0,0,4&5,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
18,88101,3,5,Goods,1,5,3.278827192,2,3,7,2,5,2,0.0,0,0.5,1,0.0,0,4&5,3,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
19,88101,3,6,Goods,1,5,1.510124496,2,4,7,2,7,2,0.0,0,0.0,0,0.0,0,4&5,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
20,88101,3,6,Goods,1,5,1.444199747,2,6,7,2,6,2,0.0,0,0.0,0,0.0,0,4&5,6,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
21,88101,6,7,Risk,1,5,4.614237257,1,1,7,4,7,1,0.0,0,0.0,0,0.0,0,4&5,1,7,1,11.0,20.0,19.0,20.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,
22,88101,2,6,Risk,1,5,3.059870621,2,1,2,2,4,2,0.0,0,2.0,4,0.0,0,4&5,1,2,2,11.0,20.0,19.0,20.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,
23,88101,2,3,Risk,1,5,1.831392119,0,2,4,2,1,0,0.5,1,1.5,3,0.5,1,4&5,2,4,0,11.0,20.0,19.0,20.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,
24,88101,2,4,Risk,1,5,1.763598995,0,2,5,2,5,0,0.5,1,1.5,3,0.5,1,4&5,2,5,0,11.0,20.0,19.0,20.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,
25,88101,2,5,Risk,1,5,1.503303987,0,2,6,2,5,0,0.5,1,1.0,2,0.5,1,4&5,2,6,0,11.0,20.0,19.0,20.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,
26,88101,2,7,Risk,1,5,1.420874404,1,2,7,2,7,1,0.0,0,0.0,0,0.0,0,4&5,2,7,1,11.0,20.0,19.0,20.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,
27,88101,1,6,Risk,1,5,1.452701736,0,1,3,2,4,0,0.5,1,1.5,3,0.5,1,4&5,1,3,0,11.0,20.0,19.0,20.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,
28,88101,1,2,Risk,1,5,10.50886524,0,2,3,2,2,0,0.0,0,1.0,2,0.5,1,4&5,2,3,0,11.0,20.0,19.0,20.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,
29,88101,1,3,Risk,1,5,1.753664528,0,3,4,2,1,0,0.5,1,0.5,1,0.5,1,4&5,3,4,0,11.0,20.0,19.0,20.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,
30,88101,1,4,Risk,1,5,2.681415566,1,3,5,2,5,1,0.0,0,1.5,3,0.0,0,4&5,3,5,1,11.0,20.0,19.0,20.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,
31,88101,1,5,Risk,1,5,1.888655334,0,3,6,2,5,0,0.5,1,1.5,3,0.5,1,4&5,3,6,0,11.0,20.0,19.0,20.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,
32,88101,1,7,Risk,1,5,1.760173926,1,3,7,2,7,1,0.0,0,0.0,0,0.0,0,4&5,3,7,1,11.0,20.0,19.0,20.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,
33,88101,3,6,Risk,1,5,2.122051213,0,1,4,1,4,0,0.5,1,1.0,2,0.5,1,4&5,1,4,0,11.0,20.0,19.0,20.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,
34,88101,3,4,Risk,1,5,7.059586291,1,4,5,1,5,1,0.0,0,1.0,2,0.0,0,4&5,4,5,1,11.0,20.0,19.0,20.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,
35,88101,3,5,Risk,1,5,2.040398268,1,4,6,1,5,1,0.0,0,1.0,2,0.0,0,4&5,4,6,1,11.0,20.0,19.0,20.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,
